Year,State,Beer (Ethanol Gallons Per Capita),Wine (Ethanol Gallons Per Capita),Spirit (Ethanol Gallons Per Capita),All Drinks (Ethanol Gallons Per Capita),Number of Beers,Number of Glasses of Wine,Number of Shots Liquor,Total Number of Drinks
1977,us total,1.27,0.29,1.04,2.6,301.037037,57.55038760000001,215.92862940000003,554.6666667000001
1978,us total,1.3,0.3,1.05,2.66,308.1481481,59.53488372,218.0048662,567.4666667
1979,us total,1.34,0.31,1.04,2.7,317.6296296,61.51937984,215.92862940000003,576.0
1980,us total,1.37,0.34,1.04,2.75,324.74074069999995,67.47286822,215.92862940000003,586.6666667000001
1981,us total,1.39,0.35,1.02,2.76,329.4814815,69.45736434,211.7761557,588.8
1982,us total,1.38,0.36,0.98,2.72,327.1111111,71.44186047,203.4712084,580.2666667000001
1983,us total,1.37,0.36,0.96,2.69,324.74074069999995,71.44186047,199.31873480000002,573.8666667
1984,us total,1.35,0.37,0.94,2.65,320.0,73.42635659,195.1662612,565.3333332999999
1985,us total,1.33,0.38,0.91,2.62,315.25925930000005,75.41085271,188.9375507,558.9333333
1986,us total,1.35,0.39,0.84,2.58,320.0,77.39534884,174.4038929,550.4
1987,us total,1.34,0.38,0.83,2.55,317.6296296,75.41085271,172.3276561,544.0
1988,us total,1.33,0.36,0.79,2.49,315.25925930000005,71.44186047,164.02270880000003,531.2
1989,us total,1.32,0.34,0.78,2.43,312.8888889,67.47286822,161.946472,518.4
1990,us total,1.34,0.33,0.77,2.45,317.6296296,65.48837209,159.8702352,522.6666667
1991,us total,1.29,0.3,0.71,2.3,305.77777779999997,59.53488372,147.4128143,490.66666669999995
1992,us total,1.29,0.3,0.71,2.3,305.77777779999997,59.53488372,147.4128143,490.66666669999995
1993,us total,1.26,0.28,0.68,2.23,298.6666667,55.56589147,141.18410380000003,475.7333333000001
1994,us total,1.25,0.28,0.65,2.18,296.2962963,55.56589147,134.95539330000003,465.0666666999999
1995,us total,1.24,0.29,0.63,2.15,293.9259259,57.55038760000001,130.8029197,458.66666669999995
1996,us total,1.23,0.3,0.63,2.16,291.55555560000005,59.53488372,130.8029197,460.8
1997,us total,1.22,0.3,0.62,2.15,289.1851852,59.53488372,128.72668290000001,458.66666669999995
1998,us total,1.22,0.3,0.62,2.15,289.1851852,59.53488372,128.72668290000001,458.66666669999995
1999,us total,1.23,0.31,0.63,2.17,291.55555560000005,61.51937984,130.8029197,462.9333333000001
2000,us total,1.23,0.31,0.64,2.19,291.55555560000005,61.51937984,132.8791565,467.2
2001,us total,1.23,0.31,0.64,2.18,291.55555560000005,61.51937984,132.8791565,465.0666666999999
2002,us total,1.23,0.33,0.64,2.2,291.55555560000005,65.48837209,132.8791565,469.33333330000005
2003,us total,1.21,0.34,0.67,2.22,286.8148148,67.47286822,139.107867,473.6
2004,us total,1.21,0.35,0.68,2.24,286.8148148,69.45736434,141.18410380000003,477.86666669999994
2005,us total,1.2,0.36,0.7,2.25,284.44444439999995,71.44186047,145.3365775,480.0
2006,us total,1.2,0.37,0.71,2.28,284.44444439999995,73.42635659,147.4128143,486.4
2007,us total,1.21,0.38,0.72,2.31,286.8148148,75.41085271,149.48905109999998,492.8
2008,us total,1.2,0.38,0.73,2.31,284.44444439999995,75.41085271,151.5652879,492.8
2009,us total,1.17,0.39,0.73,2.29,277.3333333,77.39534884,151.5652879,488.53333330000004
2010,us total,1.14,0.38,0.74,2.26,270.22222220000003,75.41085271,153.6415247,482.13333330000006
2011,us total,1.12,0.41,0.76,2.29,265.4814815,81.36434109,157.79399840000002,488.53333330000004
2012,us total,1.13,0.42,0.78,2.34,267.8518519,83.34883721,161.946472,499.2
2013,us total,1.12,0.42,0.79,2.33,265.4814815,83.34883721,164.02270880000003,497.0666666999999
2014,us total,1.1,0.43,0.8,2.32,260.74074069999995,85.33333333,166.0989457,494.9333333000001
2015,us total,1.09,0.42,0.81,2.33,258.3703704,83.34883721,168.1751825,497.0666666999999
2016,us total,1.08,0.44,0.83,2.35,256.0,87.31782946,172.3276561,501.33333330000005
2017,us total,1.06,0.44,0.85,2.35,251.25925930000002,87.31782946,176.48012980000001,501.33333330000005
2018,us total,1.05,0.44,0.87,2.35,248.88888889999998,87.31782946,180.6326034,501.33333330000005
